lf.itof.s	1			bn.i2sf
lf.ftoi.s	1			bn.sf2i
lf.mul.s	1			bn.mulsf
lf.mac.s	1			bn.maddsf
lf.div.s	1			bn.divsf
lf.rem.s	1			bn.remsf
l.sfeqsf	1			bn.sfeqsf
l.sflesf	1			bn.sflesf
l.sfeqdf	1			bn.sfeqdf
l.sfledf	1			bn.sfledf
l.sfnesf	1			bn.sfnesf
l.sfgtsf	1			bn.sfgtsf
l.sfnedf	1			bn.sfnedf
l.sfgtdf	1			bn.sfgtdf
lf.sfeq.s	1			bn.sfeqsf
lf.sfle.s	1			bn.sflesf
lf.sfeq.d	1			bn.sfeqdf
lf.sfle.d	1			bn.sfledf
lf.sfne.s	1			bn.sfnesf
lf.sfgt.s	1			bn.sfgtsf
lf.sfne.d	1			bn.sfnedf
lf.sfgt.d	1			bn.sfgtdf
l.sfltsf	0	rA,rB	rB,rA	bn.sfgtsf
l.sfgesf	0	rA,rB	rB,rA	bn.sflesf
l.sfltdf	0	rA,rB	rB,rA	bn.sfgtdf
l.sfgedf	0	rA,rB	rB,rA	bn.sfledf
l.lhq	1			bg.lhq
l.lhqq	1			bg.lhqq
l.lwq	1			bg.lwq
l.lwqq	1			bg.lwqq
l.maddsf	1			bn.maddsf
